Reference, Value, Footprint, Datasheet
"R1","10k","Resistor_SMD:R_0805_2012Metric","~"
"R2","10k","Resistor_SMD:R_0805_2012Metric","~"
"R3","20k","Resistor_SMD:R_0805_2012Metric","~"
"R4","20k","Resistor_SMD:R_0805_2012Metric","~"
"RV1","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"RV3","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"U1","LM358","Package_SO:SO-8_5.3x6.2mm_P1.27mm",""
"RV2","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"RV4","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"R5","680","Resistor_SMD:R_0805_2012Metric","~"
"J6","LAMP1","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J3","LAMP2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J4","LAMP3","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J5","LAMP4","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J1","IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","~"
"J2","POWER","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"RV5","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"RV6","20k","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","~"
"J7","LAMP5","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J8","LAMP6","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"R6","680","Resistor_SMD:R_0805_2012Metric","~"
"R7","680","Resistor_SMD:R_0805_2012Metric","~"
"R8","680","Resistor_SMD:R_0805_2012Metric","~"
"R9","680","Resistor_SMD:R_0805_2012Metric","~"
"R10","680","Resistor_SMD:R_0805_2012Metric","~"
"Q1","2N2222","Package_TO_SOT_SMD:SOT-23",""
"Q2","2N2222","Package_TO_SOT_SMD:SOT-23",""
"Q3","2N2222","Package_TO_SOT_SMD:SOT-23",""
"Q4","2N2222","Package_TO_SOT_SMD:SOT-23",""
"Q5","2N2222","Package_TO_SOT_SMD:SOT-23",""
"Q6","2N2222","Package_TO_SOT_SMD:SOT-23",""
"C1","100nF","Capacitor_SMD:C_0805_2012Metric","~"
"FID1","Fiducial","Fiducial:Fiducial_0.5mm_Mask1.5mm","~"
"FID2","Fiducial","Fiducial:Fiducial_0.5mm_Mask1.5mm","~"
"FID3","Fiducial","Fiducial:Fiducial_0.5mm_Mask1.5mm","~"
